row,uri,label,resource,dbpl,score,combined,editdist,altLabel,definition
372,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bacterial diseases,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
371,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Filamentous bacteria,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
370,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bacteria,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
369,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bacteria,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
368,http://purl.dataone.org/odo/ECSO_00000316,Liquid,http://dbpedia.org/resource/Liquid,Liquid,1.3862944,13.862944,0,Liquids,"A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure. As such, it is one of the four fundamental states of matter (the others being solid, gas, and plasma), and is the only state with a definite volume but no fixed shape. A liquid is made up of tiny vibrating particles of matter, such as atoms, held together by intermolecular bonds. Water is, by far, the most common liquid on Earth."
366,http://purl.dataone.org/odo/ECSO_00000316,Liquid,http://dbpedia.org/resource/Liquid,Liquid,1.3862944,13.862944,0,Líquido,"A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure. As such, it is one of the four fundamental states of matter (the others being solid, gas, and plasma), and is the only state with a definite volume but no fixed shape. A liquid is made up of tiny vibrating particles of matter, such as atoms, held together by intermolecular bonds. Water is, by far, the most common liquid on Earth."
379,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Predatory bacteria,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
365,http://purl.dataone.org/odo/ECSO_00000316,Liquid,http://dbpedia.org/resource/Liquid,Liquid,1.3862944,13.862944,0,Liquid level,"A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure. As such, it is one of the four fundamental states of matter (the others being solid, gas, and plasma), and is the only state with a definite volume but no fixed shape. A liquid is made up of tiny vibrating particles of matter, such as atoms, held together by intermolecular bonds. Water is, by far, the most common liquid on Earth."
364,http://purl.dataone.org/odo/ECSO_00000316,Liquid,http://dbpedia.org/resource/Liquid,Liquid,1.3862944,13.862944,0,Líquido,"A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure. As such, it is one of the four fundamental states of matter (the others being solid, gas, and plasma), and is the only state with a definite volume but no fixed shape. A liquid is made up of tiny vibrating particles of matter, such as atoms, held together by intermolecular bonds. Water is, by far, the most common liquid on Earth."
363,http://purl.dataone.org/odo/ECSO_00000316,Liquid,http://dbpedia.org/resource/Liquid,Liquid,1.3862944,13.862944,0,سائل,"A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure. As such, it is one of the four fundamental states of matter (the others being solid, gas, and plasma), and is the only state with a definite volume but no fixed shape. A liquid is made up of tiny vibrating particles of matter, such as atoms, held together by intermolecular bonds. Water is, by far, the most common liquid on Earth."
362,http://purl.dataone.org/odo/ECSO_00000316,Liquid,http://dbpedia.org/resource/Liquid,Liquid,1.3862944,13.862944,0,液体,"A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure. As such, it is one of the four fundamental states of matter (the others being solid, gas, and plasma), and is the only state with a definite volume but no fixed shape. A liquid is made up of tiny vibrating particles of matter, such as atoms, held together by intermolecular bonds. Water is, by far, the most common liquid on Earth."
361,http://purl.dataone.org/odo/ECSO_00000316,Liquid,http://dbpedia.org/resource/Liquid,Liquid,1.3862944,13.862944,0,Liquid State,"A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure. As such, it is one of the four fundamental states of matter (the others being solid, gas, and plasma), and is the only state with a definite volume but no fixed shape. A liquid is made up of tiny vibrating particles of matter, such as atoms, held together by intermolecular bonds. Water is, by far, the most common liquid on Earth."
360,http://purl.dataone.org/odo/ECSO_00000316,Liquid,http://dbpedia.org/resource/Liquid,Liquid,1.3862944,13.862944,0,Ciecz,"A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure. As such, it is one of the four fundamental states of matter (the others being solid, gas, and plasma), and is the only state with a definite volume but no fixed shape. A liquid is made up of tiny vibrating particles of matter, such as atoms, held together by intermolecular bonds. Water is, by far, the most common liquid on Earth."
359,http://purl.dataone.org/odo/ECSO_00000316,Liquid,http://dbpedia.org/resource/Liquid,Liquid,1.3862944,13.862944,0,Flüssigkeit,"A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure. As such, it is one of the four fundamental states of matter (the others being solid, gas, and plasma), and is the only state with a definite volume but no fixed shape. A liquid is made up of tiny vibrating particles of matter, such as atoms, held together by intermolecular bonds. Water is, by far, the most common liquid on Earth."
358,http://purl.dataone.org/odo/ECSO_00000316,Liquid,http://dbpedia.org/resource/Liquid,Liquid,1.3862944,13.862944,0,Liquide,"A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure. As such, it is one of the four fundamental states of matter (the others being solid, gas, and plasma), and is the only state with a definite volume but no fixed shape. A liquid is made up of tiny vibrating particles of matter, such as atoms, held together by intermolecular bonds. Water is, by far, the most common liquid on Earth."
357,http://purl.dataone.org/odo/ECSO_00000316,Liquid,http://dbpedia.org/resource/Liquid,Liquid,1.3862944,13.862944,0,Liquido,"A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure. As such, it is one of the four fundamental states of matter (the others being solid, gas, and plasma), and is the only state with a definite volume but no fixed shape. A liquid is made up of tiny vibrating particles of matter, such as atoms, held together by intermolecular bonds. Water is, by far, the most common liquid on Earth."
356,http://purl.dataone.org/odo/ECSO_00000316,Liquid,http://dbpedia.org/resource/Liquid,Liquid,1.3862944,13.862944,0,Liquid state,"A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure. As such, it is one of the four fundamental states of matter (the others being solid, gas, and plasma), and is the only state with a definite volume but no fixed shape. A liquid is made up of tiny vibrating particles of matter, such as atoms, held together by intermolecular bonds. Water is, by far, the most common liquid on Earth."
355,http://purl.dataone.org/odo/ECSO_00000316,Liquid,http://dbpedia.org/resource/Liquid,Liquid,1.3862944,13.862944,0,Liquid,"A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure. As such, it is one of the four fundamental states of matter (the others being solid, gas, and plasma), and is the only state with a definite volume but no fixed shape. A liquid is made up of tiny vibrating particles of matter, such as atoms, held together by intermolecular bonds. Water is, by far, the most common liquid on Earth."
354,http://purl.dataone.org/odo/ECSO_00000316,Liquid,http://dbpedia.org/resource/Liquid,Liquid,1.3862944,13.862944,0,Жидкость,"A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure. As such, it is one of the four fundamental states of matter (the others being solid, gas, and plasma), and is the only state with a definite volume but no fixed shape. A liquid is made up of tiny vibrating particles of matter, such as atoms, held together by intermolecular bonds. Water is, by far, the most common liquid on Earth."
353,http://purl.dataone.org/odo/ECSO_00000316,Liquid,http://dbpedia.org/resource/Liquid,Liquid,1.3862944,13.862944,0,Vloeistof,"A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure. As such, it is one of the four fundamental states of matter (the others being solid, gas, and plasma), and is the only state with a definite volume but no fixed shape. A liquid is made up of tiny vibrating particles of matter, such as atoms, held together by intermolecular bonds. Water is, by far, the most common liquid on Earth."
378,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Eubacteria,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
380,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Schizomycetes,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
351,http://purl.dataone.org/odo/ECSO_00001120,Concentration,http://dbpedia.org/resource/Concentration,Concentration,1.3862944,13.862944,0,Concentração,"In chemistry, concentration is the abundance of a constituent divided by the total volume of a mixture. Several types of mathematical description can be distinguished: mass concentration, molar concentration, number concentration, and volume concentration. The term concentration can be applied to any kind of chemical mixture, but most frequently it refers to solutes and solvents in solutions. The molar (amount) concentration has variants such as normal concentration and osmotic concentration."
396,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,真正細菌,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
409,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bactera,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
408,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bakterien,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
407,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Harmful bacteria,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
406,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bacteria morphology,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
405,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bacterium,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
404,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bacterial predation,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
403,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bacterial shape,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
402,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bacterial,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
401,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bacteriën,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
400,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,"Antibodies, bacterial","Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
399,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bacteria,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
398,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bacium,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
397,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bacterial proteins,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
395,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bacteria A2Z,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
381,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Бактерии,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
394,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bakterie,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
393,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bacterial index,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
392,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Types of bacteria,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
391,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bactéria,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
390,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,细菌,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
389,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Super bacterium,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
388,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bacteria cells,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
387,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Eubacter,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
386,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,Bacterial predators,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
385,http://purl.dataone.org/odo/ECSO_00000569,Bacteria,http://dbpedia.org/resource/Bacteria,Bacteria,1.3862944,13.862944,0,بكتيريا,"Bacteria (/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust."
